filename,label
0.png,0
1.png,0
2.png,1
3.png,1
4.png,1
5.png,1
6.png,1
7.png,1
8.png,0
9.png,0
10.png,1
11.png,1
12.png,1
13.png,1
14.png,1
15.png,1
16.png,1
17.png,1
18.png,1
19.png,1
20.png,1
21.png,1
22.png,1
23.png,1
24.png,1
25.png,1
26.png,1
27.png,1
28.png,1
29.png,1
30.png,1
31.png,0
32.png,0
33.png,1
34.png,1
35.png,1
36.png,1
37.png,1
38.png,1
39.png,1
40.png,1
41.png,1
42.png,0
43.png,0
44.png,0
45.png,0
46.png,1
47.png,1
48.png,1
49.png,0
50.png,0
51.png,1
52.png,1
53.png,1
54.png,1
55.png,1
56.png,1
57.png,0
58.png,0
59.png,0
60.png,0
61.png,0
62.png,0
63.png,1
64.png,1
65.png,1
66.png,1
67.png,1
68.png,1
69.png,1
70.png,1
71.png,1
72.png,1
73.png,1
74.png,1
75.png,1
76.png,1
77.png,1
78.png,1
79.png,1
80.png,1
81.png,1
82.png,1
83.png,1
84.png,1
85.png,1
86.png,1
87.png,1
88.png,1
89.png,1
90.png,1
91.png,1
92.png,1
93.png,1
94.png,1
95.png,1
96.png,1
97.png,1
98.png,1
99.png,1
100.png,1
101.png,1
102.png,1
103.png,1
104.png,1
105.png,1
106.png,1
107.png,1
108.png,0
109.png,0
110.png,0
111.png,0
112.png,0
113.png,0
114.png,0
115.png,0
116.png,0
117.png,0
118.png,0
119.png,0
120.png,0
121.png,0
122.png,0
123.png,0
124.png,0
125.png,0
126.png,0
127.png,0
128.png,0
129.png,0
130.png,0
131.png,0
132.png,0
133.png,0
134.png,1
135.png,1
136.png,1
137.png,0
138.png,0
139.png,1
140.png,1
141.png,1
142.png,0
143.png,0
144.png,0
145.png,0
146.png,1
147.png,1
148.png,1
149.png,0
150.png,0
151.png,0
152.png,0
153.png,0
154.png,0
155.png,0
156.png,0
157.png,0
158.png,0
159.png,1
160.png,1
161.png,1
162.png,0
163.png,0
164.png,0
165.png,0
166.png,0
167.png,0
168.png,0
169.png,0
170.png,1
171.png,1
172.png,1
173.png,1
174.png,1
175.png,1
176.png,1
177.png,1
178.png,1
179.png,1
180.png,1
181.png,1
182.png,1
183.png,1
184.png,1
185.png,1
186.png,1
187.png,1
188.png,1
189.png,1
190.png,1
191.png,1
192.png,1
193.png,1
194.png,0
195.png,0
196.png,0
197.png,0
198.png,0
199.png,0
200.png,0
201.png,0
202.png,0
203.png,0
204.png,0
205.png,0
206.png,0
207.png,0
208.png,0
209.png,0
210.png,0
211.png,0
212.png,0
213.png,0
214.png,0
215.png,0
216.png,0
217.png,0
218.png,0
219.png,0
220.png,0
221.png,0
222.png,0
223.png,0
224.png,1
225.png,1
226.png,1
227.png,1
228.png,1
229.png,1
230.png,1
231.png,1
232.png,1
233.png,1
234.png,1
235.png,1
236.png,1
237.png,1
238.png,1
239.png,1
240.png,1
241.png,1
242.png,1
243.png,1
244.png,1
245.png,1
246.png,1
247.png,1
248.png,1
249.png,1
250.png,1
251.png,1
252.png,1
253.png,1
254.png,1
255.png,1
256.png,1
257.png,0
258.png,0
259.png,0
260.png,0
261.png,0
262.png,0
263.png,0
264.png,0
265.png,1
266.png,1
267.png,1
268.png,1
269.png,1
270.png,1
271.png,1
272.png,1
273.png,1
274.png,1
275.png,1
276.png,1
277.png,1
278.png,1
279.png,1
280.png,0
281.png,0
282.png,1
283.png,1
284.png,1
285.png,0
286.png,0
287.png,1
288.png,1
289.png,1
290.png,0
291.png,0
292.png,0
293.png,0
294.png,0
295.png,0
296.png,0
297.png,0
298.png,0
299.png,0
300.png,0
301.png,0
302.png,1
303.png,1
304.png,1
305.png,1
306.png,1
307.png,1
308.png,1
309.png,1
310.png,1
311.png,1
312.png,1
313.png,1
314.png,1
315.png,1
316.png,1
317.png,1
318.png,1
319.png,1
320.png,1
321.png,1
322.png,1
323.png,1
324.png,1
325.png,1
326.png,1
327.png,1
328.png,1
329.png,0
330.png,0
331.png,1
332.png,1
333.png,1
334.png,1
335.png,1
336.png,1
337.png,1
338.png,1
339.png,1
340.png,1
341.png,1
342.png,1
343.png,0
344.png,0
345.png,1
346.png,1
347.png,1
348.png,1
349.png,1
350.png,1
351.png,0
352.png,0
353.png,0
354.png,0
355.png,0
356.png,0
357.png,0
358.png,0
359.png,0
360.png,0
361.png,0
362.png,0
363.png,0
364.png,0
365.png,0
366.png,0
367.png,0
368.png,0
369.png,1
370.png,1
371.png,1
372.png,0
373.png,0
374.png,1
375.png,1
376.png,1
377.png,0
378.png,0
379.png,0
380.png,0
381.png,1
382.png,1
383.png,1
384.png,0
385.png,0
386.png,0
387.png,0
388.png,0
389.png,0
390.png,0
391.png,0
392.png,1
393.png,1
394.png,1
395.png,1
396.png,1
397.png,1
398.png,1
399.png,1
400.png,1
401.png,1
402.png,1
403.png,1
404.png,1
405.png,1
406.png,1
407.png,1
408.png,1
409.png,1
410.png,1
411.png,1
412.png,1
413.png,1
414.png,1
415.png,1
416.png,1
417.png,1
418.png,1
419.png,0
420.png,0
421.png,0
422.png,0
423.png,0
424.png,0
425.png,0
426.png,0
427.png,0
428.png,0
429.png,0
430.png,0
431.png,1
432.png,1
433.png,1
434.png,0
435.png,0
436.png,1
437.png,1
438.png,1
439.png,0
440.png,0
441.png,0
442.png,0
443.png,0
444.png,0
445.png,0
446.png,0
447.png,0
448.png,0
449.png,1
450.png,1
451.png,1
452.png,1
453.png,1
454.png,1
455.png,1
456.png,1
457.png,1
458.png,1
459.png,1
460.png,1
461.png,1
462.png,1
463.png,1
464.png,1
465.png,1
466.png,1
467.png,1
468.png,1
469.png,1
470.png,1
471.png,1
472.png,1
473.png,1
474.png,1
475.png,1
476.png,1
